-45	5
-44	4.911111111
-43	4.822222222
-42	4.733333333
-41	4.644444444
-40	4.555555556
-39	4.466666667
-38	4.377777778
-37	4.288888889
-36	4.2
-35	4.111111111
-34	4.022222222
-33	3.933333333
-32	3.844444444
-31	3.755555556
-30	3.666666667
-29	3.577777778
-28	3.488888889
-27	3.4
-26	3.311111111
-25	3.222222222
-24	3.133333333
-23	3.044444444
-22	2.955555556
-21	2.866666667
-20	2.777777778
-19	2.688888889
-18	2.6
-17	2.511111111
-16	2.422222222
-15	2.333333333
-14	2.244444444
-13	2.155555556
-12	2.066666667
-11	1.977777778
-10	1.888888889
-9	1.8
-8	1.711111111
-7	1.622222222
-6	1.533333333
-5	1.444444444
-4	1.355555556
-3	1.266666667
-2	1.177777778
-1	1.088888889
0	1
1	0.940736004
2	0.884951274
3	0.83241245
4	0.78290506
5	0.736231757
6	0.692210746
7	0.650674369
8	0.611467837
9	0.574448091
10	0.53948277
11	0.506449288
12	0.475233999
13	0.445731436
14	0.417843629
15	0.391479482
16	0.366554212
17	0.342988834
18	0.320709697
19	0.299648054
20	0.279739681
21	0.260924516
22	0.243146341
23	0.226352478
24	0.210493522
25	0.195523089
26	0.181397584
27	0.168075991
28	0.155519678
29	0.143692213
30	0.1325592
31	0.122088124
32	0.112248206
33	0.103010271
34	0.094346622
35	0.086230927
36	0.078638109
37	0.071544247
38	0.064926482
39	0.058762927
40	0.053032587
41	0.047715281
42	0.04279157
43	0.038242692
44	0.034050495
45	0.030197383
